epoch,step,train_loss,val_loss
0,304,,0.9028521776199341
0,304,0.9527431726455688,
1,609,,0.8902281522750854
1,609,0.9108268618583679,
2,914,,0.8834843039512634
2,914,0.9005686640739441,
3,1219,,0.8792995810508728
3,1219,0.8948071599006653,
4,1524,,0.8753259778022766
4,1524,0.8907187581062317,
5,1829,,0.87294602394104
5,1829,0.887839138507843,
6,2134,,0.8714396357536316
6,2134,0.8856363892555237,
7,2439,,0.8691331744194031
7,2439,0.8840324282646179,
8,2744,,0.8676811456680298
8,2744,0.8825783133506775,
9,3049,,0.8671932220458984
9,3049,0.8813116550445557,
10,3354,,0.8659120202064514
10,3354,0.8803752064704895,
11,3659,,0.8648921847343445
11,3659,0.8795680403709412,
12,3964,,0.8641538023948669
12,3964,0.8788551092147827,
13,4269,,0.8636364936828613
13,4269,0.8782171010971069,
14,4574,,0.8636214733123779
14,4574,0.8775827884674072,
15,4879,,0.8621999025344849
15,4879,0.8772608637809753,
16,5184,,0.8625440001487732
16,5184,0.8769097924232483,
17,5489,,0.8619422912597656
17,5489,0.8765217661857605,
18,5794,,0.8612278699874878
18,5794,0.875959038734436,
19,6099,,0.8609691262245178
19,6099,0.8757268786430359,
20,6404,,0.8597922921180725
20,6404,0.8754166960716248,
21,6709,,0.8605296611785889
21,6709,0.8751083016395569,
22,7014,,0.8596429824829102
22,7014,0.8747739195823669,
23,7319,,0.8595988750457764
23,7319,0.8744962811470032,
24,7624,,0.8594067096710205
24,7624,0.8743463754653931,
25,7929,,0.859135627746582
25,7929,0.8739970922470093,
26,8234,,0.8587973117828369
26,8234,0.8735855221748352,
27,8539,,0.8586259484291077
27,8539,0.8734539747238159,
28,8844,,0.8586264848709106
28,8844,0.8733748197555542,
29,9149,,0.8582258224487305
29,9149,0.8730602860450745,
30,9454,,0.8575810194015503
30,9454,0.8729780316352844,
31,9759,,0.8573241829872131
31,9759,0.8725098371505737,
32,10064,,0.8570204973220825
32,10064,0.8726297616958618,
33,10369,,0.8575491905212402
33,10369,0.8723865747451782,
34,10674,,0.8567936420440674
34,10674,0.8722594380378723,
35,10979,,0.8560308218002319
35,10979,0.8719010949134827,
36,11284,,0.8560096025466919
36,11284,0.8717764019966125,
37,11589,,0.8558233976364136
37,11589,0.8716644048690796,
38,11894,,0.8559975028038025
38,11894,0.8715129494667053,
39,12199,,0.8560259342193604
39,12199,0.8712641596794128,
40,12504,,0.8559083342552185
40,12504,0.871107280254364,
41,12809,,0.8560951352119446
41,12809,0.8710796236991882,
42,13114,,0.853261411190033
42,13114,0.8687463402748108,
43,13419,,0.8524632453918457
43,13419,0.867872953414917,
44,13724,,0.8522104024887085
44,13724,0.8677046298980713,
45,14029,,0.8522655963897705
45,14029,0.8674737215042114,
46,14334,,0.8526161909103394
46,14334,0.8674963116645813,
47,14639,,0.8529484272003174
47,14639,0.8674545288085938,
48,14944,,0.8520443439483643
48,14944,0.8673697710037231,
49,15249,,0.8520829677581787
49,15249,0.8673241138458252,
