batch_idx,epoch,step,train_loss
49.0,0,49,0.19272173941135406
99.0,0,99,0.19550107419490814
149.0,0,149,0.16503691673278809
199.0,0,199,0.19079434871673584
249.0,0,249,0.18028971552848816
299.0,0,299,0.17353031039237976
349.0,0,349,0.16576620936393738
399.0,0,399,0.1831783950328827
449.0,0,449,0.17731055617332458
499.0,0,499,0.18537193536758423
549.0,0,549,0.1653982251882553
599.0,0,599,0.1857374608516693
649.0,0,649,0.17846062779426575
2.0,1,699,0.17281267046928406
52.0,1,749,0.15640835464000702
102.0,1,799,0.18865157663822174
152.0,1,849,0.1657865047454834
202.0,1,899,0.17337049543857574
252.0,1,949,0.14911718666553497
302.0,1,999,0.17215979099273682
352.0,1,1049,0.15676824748516083
402.0,1,1099,0.15597423911094666
452.0,1,1149,0.17473535239696503
502.0,1,1199,0.1528613418340683
552.0,1,1249,0.150817409157753
602.0,1,1299,0.14967308938503265
652.0,1,1349,0.16501162946224213
5.0,2,1399,0.15292595326900482
55.0,2,1449,0.15653258562088013
105.0,2,1499,0.1603091061115265
155.0,2,1549,0.17035450041294098
205.0,2,1599,0.15132197737693787
255.0,2,1649,0.16005514562129974
305.0,2,1699,0.14792580902576447
355.0,2,1749,0.1552722454071045
405.0,2,1799,0.1452588140964508
455.0,2,1849,0.14572973549365997
505.0,2,1899,0.15284717082977295
555.0,2,1949,0.15295957028865814
605.0,2,1999,0.15058447420597076
655.0,2,2049,0.15722475945949554
8.0,3,2099,0.15916836261749268
58.0,3,2149,0.1489001214504242
108.0,3,2199,0.16323594748973846
158.0,3,2249,0.15595802664756775
208.0,3,2299,0.1538701057434082
258.0,3,2349,0.14328905940055847
308.0,3,2399,0.15530997514724731
358.0,3,2449,0.14789752662181854
408.0,3,2499,0.14900076389312744
458.0,3,2549,0.1554466038942337
508.0,3,2599,0.13752351701259613
558.0,3,2649,0.13883358240127563
608.0,3,2699,0.13992972671985626
658.0,3,2749,0.14772240817546844
11.0,4,2799,0.15429051220417023
61.0,4,2849,0.15924738347530365
111.0,4,2899,0.16624188423156738
161.0,4,2949,0.14917691051959991
211.0,4,2999,0.15519794821739197
261.0,4,3049,0.16972970962524414
311.0,4,3099,0.1470135748386383
361.0,4,3149,0.14092320203781128
411.0,4,3199,0.1718141734600067
461.0,4,3249,0.1717432290315628
511.0,4,3299,0.16853632032871246
561.0,4,3349,0.15858785808086395
611.0,4,3399,0.14215771853923798
661.0,4,3449,0.16138526797294617
14.0,5,3499,0.14183557033538818
64.0,5,3549,0.15609188377857208
114.0,5,3599,0.14536386728286743
164.0,5,3649,0.15084443986415863
214.0,5,3699,0.1478584259748459
264.0,5,3749,0.15301604568958282
314.0,5,3799,0.13962328433990479
364.0,5,3849,0.16345380246639252
414.0,5,3899,0.1669541299343109
464.0,5,3949,0.15193963050842285
514.0,5,3999,0.15689855813980103
564.0,5,4049,0.15230630338191986
614.0,5,4099,0.1474689394235611
664.0,5,4149,0.14306174218654633
17.0,6,4199,0.15493237972259521
67.0,6,4249,0.15944461524486542
117.0,6,4299,0.1594770848751068
167.0,6,4349,0.13476522266864777
217.0,6,4399,0.1497710645198822
267.0,6,4449,0.14936526119709015
317.0,6,4499,0.13633637130260468
367.0,6,4549,0.15396267175674438
417.0,6,4599,0.14012619853019714
467.0,6,4649,0.16667847335338593
517.0,6,4699,0.15158089995384216
567.0,6,4749,0.15266558527946472
617.0,6,4799,0.14402338862419128
667.0,6,4849,0.1434105634689331
20.0,7,4899,0.15616828203201294
70.0,7,4949,0.13916699588298798
120.0,7,4999,0.16236133873462677
170.0,7,5049,0.14213711023330688
220.0,7,5099,0.139998197555542
270.0,7,5149,0.15969011187553406
320.0,7,5199,0.1469992697238922
370.0,7,5249,0.15480877459049225
420.0,7,5299,0.15402573347091675
470.0,7,5349,0.14140629768371582
520.0,7,5399,0.1705866903066635
570.0,7,5449,0.14812402427196503
620.0,7,5499,0.13887009024620056
670.0,7,5549,0.15622441470623016
23.0,8,5599,0.1687706559896469
73.0,8,5649,0.14643536508083344
123.0,8,5699,0.14430876076221466
173.0,8,5749,0.15376272797584534
223.0,8,5799,0.14644809067249298
273.0,8,5849,0.1439160704612732
323.0,8,5899,0.13898910582065582
373.0,8,5949,0.15209631621837616
423.0,8,5999,0.161470428109169
473.0,8,6049,0.13713420927524567
523.0,8,6099,0.18370245397090912
573.0,8,6149,0.1416817009449005
623.0,8,6199,0.1696702539920807
673.0,8,6249,0.12728631496429443
26.0,9,6299,0.15641990303993225
76.0,9,6349,0.1463794708251953
126.0,9,6399,0.15609607100486755
176.0,9,6449,0.1544969528913498
226.0,9,6499,0.1471562683582306
276.0,9,6549,0.15519967675209045
326.0,9,6599,0.15014779567718506
376.0,9,6649,0.15476804971694946
426.0,9,6699,0.1451376974582672
476.0,9,6749,0.13972659409046173
526.0,9,6799,0.13762369751930237
576.0,9,6849,0.1591007560491562
626.0,9,6899,0.15953345596790314
676.0,9,6949,0.15498916804790497
