epoch,step,train_loss,val_loss
0,304,,0.16307975351810455
0,304,0.211097851395607,
1,609,,0.16068248450756073
1,609,0.17188483476638794,
2,914,,0.15918700397014618
2,914,0.16827069222927094,
3,1219,,0.15878091752529144
3,1219,0.1666157990694046,
4,1524,,0.1579899787902832
4,1524,0.16523005068302155,
5,1829,,0.15718142688274384
5,1829,0.16453373432159424,
6,2134,,0.15675202012062073
6,2134,0.16369666159152985,
7,2439,,0.15655621886253357
7,2439,0.1630813479423523,
8,2744,,0.15586107969284058
8,2744,0.1622387319803238,
9,3049,,0.15565253794193268
9,3049,0.16199684143066406,
10,3354,,0.15530280768871307
10,3354,0.16142405569553375,
11,3659,,0.15609599649906158
11,3659,0.16062229871749878,
12,3964,,0.1537051796913147
12,3964,0.16013258695602417,
13,4269,,0.15432234108448029
13,4269,0.15956172347068787,
14,4574,,0.15323218703269958
14,4574,0.15914736688137054,
15,4879,,0.15296125411987305
15,4879,0.15866845846176147,
16,5184,,0.15289779007434845
16,5184,0.15835680067539215,
17,5489,,0.1531020700931549
17,5489,0.15800310671329498,
18,5794,,0.15249517560005188
18,5794,0.15775731205940247,
19,6099,,0.1523364931344986
19,6099,0.15747907757759094,
20,6404,,0.15254588425159454
20,6404,0.15705014765262604,
21,6709,,0.15201276540756226
21,6709,0.15688422322273254,
22,7014,,0.15178731083869934
22,7014,0.1565781533718109,
23,7319,,0.15169629454612732
23,7319,0.1564636379480362,
24,7624,,0.1517021358013153
24,7624,0.15620073676109314,
25,7929,,0.15195833146572113
25,7929,0.15609769523143768,
26,8234,,0.15153101086616516
26,8234,0.15593105554580688,
27,8539,,0.15197627246379852
27,8539,0.15579885244369507,
28,8844,,0.15127401053905487
28,8844,0.1555936187505722,
29,9149,,0.15115393698215485
29,9149,0.15550203621387482,
30,9454,,0.1513431966304779
30,9454,0.15534983575344086,
31,9759,,0.15101410448551178
31,9759,0.15524032711982727,
32,10064,,0.15081335604190826
32,10064,0.15528571605682373,
33,10369,,0.15093211829662323
33,10369,0.15518927574157715,
34,10674,,0.15142999589443207
34,10674,0.15513597428798676,
35,10979,,0.15095427632331848
35,10979,0.15515047311782837,
36,11284,,0.15051472187042236
36,11284,0.15507440268993378,
37,11589,,0.15112468600273132
37,11589,0.15499354898929596,
38,11894,,0.15075917541980743
38,11894,0.15496347844600677,
39,12199,,0.15153929591178894
39,12199,0.1549719274044037,
40,12504,,0.15084117650985718
40,12504,0.15491841733455658,
41,12809,,0.14949879050254822
41,12809,0.15383215248584747,
42,13114,,0.14959996938705444
42,13114,0.15368430316448212,
43,13419,,0.14952470362186432
43,13419,0.1536705046892166,
44,13724,,0.1494002342224121
44,13724,0.15368911623954773,
45,14029,,0.14947110414505005
45,14029,0.1536894291639328,
46,14334,,0.14957201480865479
46,14334,0.1536329686641693,
47,14639,,0.14968781173229218
47,14639,0.1535874605178833,
48,14944,,0.14941814541816711
48,14944,0.15361301600933075,
49,15249,,0.14874820411205292
49,15249,0.15289798378944397,
