epoch,step,test_loss,train_loss,val_loss
0,304,,,0.164378359913826
0,304,,0.211617112159729,
1,609,,,0.16176821291446686
1,609,,0.1724284142255783,
2,914,,,0.16052931547164917
2,914,,0.1687278002500534,
3,1219,,,0.15949662029743195
3,1219,,0.16698846220970154,
4,1524,,,0.15829481184482574
4,1524,,0.16589853167533875,
5,1829,,,0.1579245924949646
5,1829,,0.164803609251976,
6,2134,,,0.1571449339389801
6,2134,,0.16387972235679626,
7,2439,,,0.15677262842655182
7,2439,,0.16347643733024597,
8,2744,,,0.15611538290977478
8,2744,,0.1622387170791626,
9,3049,,,0.15629711747169495
9,3049,,0.16189587116241455,
10,3354,,,0.15463322401046753
10,3354,,0.16112665832042694,
11,3659,,,0.15463827550411224
11,3659,,0.16072118282318115,
12,3964,,,0.15475529432296753
12,3964,,0.16010703146457672,
13,4269,,,0.15393398702144623
13,4269,,0.1597338169813156,
14,4574,,,0.15343354642391205
14,4574,,0.15920937061309814,
15,4879,,,0.15259450674057007
15,4879,,0.15854011476039886,
16,5184,,,0.15272071957588196
16,5184,,0.158159077167511,
17,5489,,,0.1526123285293579
17,5489,,0.1577308624982834,
18,5794,,,0.15246306359767914
18,5794,,0.15747566521167755,
19,6099,,,0.15264420211315155
19,6099,,0.15715083479881287,
20,6404,,,0.15189780294895172
20,6404,,0.15699690580368042,
21,6709,,,0.151570126414299
21,6709,,0.1567559689283371,
22,7014,,,0.1521407812833786
22,7014,,0.1564563661813736,
23,7319,,,0.15151219069957733
23,7319,,0.15632404386997223,
24,7624,,,0.15140321850776672
24,7624,,0.15606941282749176,
25,7929,,,0.1510898321866989
25,7929,,0.15578149259090424,
26,8234,,,0.15108135342597961
26,8234,,0.1555970460176468,
27,8539,,,0.1507801115512848
27,8539,,0.155525803565979,
28,8844,,,0.15118291974067688
28,8844,,0.15536890923976898,
29,9149,,,0.15081556141376495
29,9149,,0.1553114652633667,
30,9454,,,0.1511155515909195
30,9454,,0.1552620381116867,
31,9759,,,0.15074998140335083
31,9759,,0.15518024563789368,
32,10064,,,0.1507062315940857
32,10064,,0.15510548651218414,
33,10369,,,0.15058395266532898
33,10369,,0.15501762926578522,
34,10674,,,0.15056441724300385
34,10674,,0.1548706740140915,
35,10979,,,0.15047112107276917
35,10979,,0.15484927594661713,
36,11284,,,0.15088656544685364
36,11284,,0.15485139191150665,
37,11589,,,0.15025684237480164
37,11589,,0.15477028489112854,
38,11894,,,0.15015839040279388
38,11894,,0.15475167334079742,
39,12199,,,0.15066654980182648
39,12199,,0.15467816591262817,
40,12504,,,0.15023092925548553
40,12504,,0.1546577662229538,
41,12809,,,0.15011060237884521
41,12809,,0.15459497272968292,
42,13114,,,0.1502489596605301
42,13114,,0.1545998901128769,
43,13419,,,0.1503787636756897
43,13419,,0.15458180010318756,
44,13724,,,0.15029272437095642
44,13724,,0.15457051992416382,
45,14029,,,0.15026222169399261
45,14029,,0.1545684039592743,
46,14334,,,0.14908605813980103
46,14334,,0.15347598493099213,
47,14639,,,0.14888426661491394
47,14639,,0.15326206386089325,
48,14944,,,0.14918018877506256
48,14944,,0.15331237018108368,
49,15249,,,0.1489415466785431
49,15249,,0.15328048169612885,
50,15250,0.14862076938152313,,
