epoch,kl_loss,kl_weight,recon_loss,step,test_kl_loss,test_loss,test_recon_loss,train_loss,val_kl_loss,val_loss,val_recon_loss
0,,,,304,,,,,1.592555284500122,0.1663629114627838,0.1663629114627838
0,0.9271318912506104,0.0,0.21708790957927704,304,,,,0.21708790957927704,,,
1,,,,609,,,,,0.5339002013206482,0.16536524891853333,0.16322959959506989
1,0.6789596676826477,0.003999995067715645,0.17393386363983154,609,,,,0.17664960026741028,,,
2,,,,914,,,,,0.35571935772895813,0.16554798185825348,0.16270217299461365
2,0.39229321479797363,0.00799999013543129,0.17044784128665924,914,,,,0.17358621954917908,,,
3,,,,1219,,,,,0.2709116041660309,0.16618937253952026,0.16293838620185852
3,0.2919561266899109,0.012000031769275665,0.16987638175487518,1219,,,,0.1733798384666443,,,
4,,,,1524,,,,,0.23068451881408691,0.1663735806941986,0.16268262267112732
4,0.2364441454410553,0.01599998027086258,0.16896197199821472,1524,,,,0.17274510860443115,,,
5,,,,1829,,,,,0.18735116720199585,0.1656429022550583,0.16189582645893097
5,0.19717012345790863,0.01999998465180397,0.16809318959712982,1829,,,,0.17203660309314728,,,
6,,,,2134,,,,,0.16070325672626495,0.16435134410858154,0.16049444675445557
6,0.16809897124767303,0.02400006353855133,0.16602708399295807,2134,,,,0.17006152868270874,,,
7,,,,2439,,,,,0.1451476514339447,0.1642777919769287,0.1602136492729187
7,0.14829586446285248,0.027999961748719215,0.16538730263710022,2439,,,,0.16953960061073303,,,
8,,,,2744,,,,,0.1332770437002182,0.16438861191272736,0.1601237952709198
8,0.1362496018409729,0.03199996054172516,0.16512280702590942,2744,,,,0.16948285698890686,,,
9,,,,3049,,,,,0.11881758272647858,0.16439718008041382,0.16011975705623627
9,0.12627924978733063,0.03599998727440834,0.16488662362098694,3049,,,,0.16943269968032837,,,
10,,,,3354,,,,,0.11527317762374878,0.1645808070898056,0.15996991097927094
10,0.11964476853609085,0.03999996930360794,0.16463400423526764,3354,,,,0.16941989958286285,,,
11,,,,3659,,,,,0.11539909243583679,0.16494594514369965,0.15986838936805725
11,0.1135268285870552,0.04399990290403366,0.1644320785999298,3659,,,,0.16942718625068665,,,
12,,,,3964,,,,,0.1042468398809433,0.16444584727287292,0.1594419926404953
12,0.10954885929822922,0.04800012707710266,0.16347011923789978,3964,,,,0.16872848570346832,,,
13,,,,3965,0.10393095016479492,0.16930869221687317,0.15891556441783905,,,,
