epoch,step,test_loss,train_loss,val_loss
0,304,,,0.16189652681350708
0,304,,0.22832639515399933,
1,609,,,0.15928910672664642
1,609,,0.1694324016571045,
2,914,,,0.15831899642944336
2,914,,0.16541007161140442,
3,1219,,,0.15496565401554108
3,1219,,0.16302789747714996,
4,1524,,,0.15433485805988312
4,1524,,0.16146011650562286,
5,1829,,,0.1536358743906021
5,1829,,0.16061490774154663,
6,2134,,,0.15269368886947632
6,2134,,0.15973159670829773,
7,2439,,,0.152272567152977
7,2439,,0.1593102365732193,
8,2744,,,0.15174761414527893
8,2744,,0.1587418168783188,
9,3049,,,0.15151116251945496
9,3049,,0.15830963850021362,
10,3354,,,0.1516057848930359
10,3354,,0.15792246162891388,
11,3659,,,0.15070517361164093
11,3659,,0.15741372108459473,
12,3964,,,0.15060685575008392
12,3964,,0.15702883899211884,
13,4269,,,0.15000930428504944
13,4269,,0.1566394865512848,
14,4574,,,0.15022657811641693
14,4574,,0.15634635090827942,
15,4879,,,0.14965306222438812
15,4879,,0.15597113966941833,
16,5184,,,0.14918680489063263
16,5184,,0.15568320453166962,
17,5489,,,0.14965860545635223
17,5489,,0.15539437532424927,
18,5794,,,0.1494365781545639
18,5794,,0.1552073359489441,
19,6099,,,0.14890998601913452
19,6099,,0.15497398376464844,
20,6404,,,0.14911232888698578
20,6404,,0.15467491745948792,
21,6709,,,0.14864853024482727
21,6709,,0.15446630120277405,
22,7014,,,0.14852286875247955
22,7014,,0.15432384610176086,
23,7319,,,0.1481158435344696
23,7319,,0.15409009158611298,
24,7624,,,0.14839211106300354
24,7624,,0.15397991240024567,
25,7929,,,0.1479925811290741
25,7929,,0.1537274867296219,
26,8234,,,0.1479051113128662
26,8234,,0.15359875559806824,
27,8539,,,0.14756058156490326
27,8539,,0.1535116583108902,
28,8844,,,0.14765213429927826
28,8844,,0.15344668924808502,
29,9149,,,0.14746525883674622
29,9149,,0.1532561033964157,
30,9454,,,0.14759166538715363
30,9454,,0.15323162078857422,
31,9759,,,0.14757759869098663
31,9759,,0.15306483209133148,
32,10064,,,0.14719481766223907
32,10064,,0.15297448635101318,
33,10369,,,0.14747971296310425
33,10369,,0.15291009843349457,
34,10674,,,0.1472431868314743
34,10674,,0.15282604098320007,
35,10979,,,0.1469206064939499
35,10979,,0.15272203087806702,
36,11284,,,0.14696840941905975
36,11284,,0.1525985300540924,
37,11589,,,0.1471407413482666
37,11589,,0.15254788100719452,
38,11894,,,0.1470765769481659
38,11894,,0.1523928940296173,
39,12199,,,0.1467427760362625
39,12199,,0.1524050235748291,
40,12504,,,0.14671792089939117
40,12504,,0.15239879488945007,
41,12809,,,0.14634110033512115
41,12809,,0.15222997963428497,
42,13114,,,0.14640949666500092
42,13114,,0.1521519273519516,
43,13419,,,0.1462402492761612
43,13419,,0.15216533839702606,
44,13724,,,0.14643557369709015
44,13724,,0.1521567702293396,
45,14029,,,0.1466614454984665
45,14029,,0.15201298892498016,
46,14334,,,0.14607836306095123
46,14334,,0.15187817811965942,
47,14639,,,0.14612054824829102
47,14639,,0.15190592408180237,
48,14944,,,0.14610132575035095
48,14944,,0.15185099840164185,
49,15249,,,0.1462719738483429
49,15249,,0.15183676779270172,
50,15250,0.14600740373134613,,
