d_loss,epoch,g_loss,gradient_penalty,sparsity_penalty,step,val_d_loss,val_g_loss
,0,,,,304,0.1669311821460724,2.068425178527832
0.40322279930114746,0,1.7046492099761963,0.791648805141449,0.003089815378189087,304,,
,1,,,,609,0.13929156959056854,2.3197243213653564
0.31824159622192383,1,2.410841464996338,0.8004668354988098,0.003249191679060459,609,,
,2,,,,914,0.12665754556655884,2.5736865997314453
0.30130162835121155,2,2.6854162216186523,0.8019781708717346,0.0034250731114298105,914,,
,3,,,,1219,0.11897244304418564,2.694897174835205
0.2914472222328186,3,2.8796145915985107,0.8015726804733276,0.003549078479409218,1219,,
,4,,,,1524,0.1162572130560875,2.894381284713745
0.28582343459129333,4,3.028130292892456,0.8042042851448059,0.0036336921621114016,1524,,
,5,,,,1829,0.11183659732341766,3.0705928802490234
0.2813180088996887,5,3.1413280963897705,0.8035929203033447,0.0038042475935071707,1829,,
,6,,,,2134,0.10046591609716415,2.99402117729187
0.27704980969429016,6,3.2596688270568848,0.8046620488166809,0.0039786542765796185,2134,,
,7,,,,2439,0.09893050044775009,3.2926857471466064
0.2740243971347809,7,3.3581604957580566,0.806001603603363,0.004056438338011503,2439,,
,8,,,,2744,0.09551892429590225,3.278055429458618
0.2715647518634796,8,3.424921751022339,0.8055067658424377,0.004147851374000311,2744,,
,9,,,,3049,0.09169037640094757,3.459535837173462
0.2699803411960602,9,3.4844155311584473,0.8054922819137573,0.004227764438837767,3049,,
,10,,,,3354,0.09330367296934128,3.5475075244903564
0.26831263303756714,10,3.540409564971924,0.806845486164093,0.004310083109885454,3354,,
,11,,,,3659,0.0911395326256752,3.5197720527648926
0.26740097999572754,11,3.578343629837036,0.8065633773803711,0.004376125987619162,3659,,
,12,,,,3964,0.08594559133052826,3.502554416656494
0.2667052149772644,12,3.6172163486480713,0.8085686564445496,0.004434396978467703,3964,,
,13,,,,4269,0.09235778450965881,3.6431028842926025
0.2658150792121887,13,3.636171817779541,0.8080092668533325,0.004500082228332758,4269,,
,14,,,,4574,0.0875156968832016,3.6067073345184326
0.2651086449623108,14,3.6704626083374023,0.8066756129264832,0.0045618936419487,4574,,
,15,,,,4879,0.09934166073799133,3.7980856895446777
0.2645051181316376,15,3.681797504425049,0.8076371550559998,0.0046251616440713406,4879,,
,16,,,,5184,0.08333268016576767,3.6617586612701416
0.26438939571380615,16,3.692423105239868,0.8091005682945251,0.004678291734308004,5184,,
,17,,,,5489,0.0851011872291565,3.749704360961914
0.26414430141448975,17,3.702195882797241,0.8079019784927368,0.004742130171507597,5489,,
,18,,,,5794,0.09408071637153625,3.716858148574829
0.2637184262275696,18,3.7099523544311523,0.8076121807098389,0.004781137220561504,5794,,
,19,,,,6099,0.10134677588939667,3.7400548458099365
0.26357483863830566,19,3.716301202774048,0.8087189793586731,0.004825002979487181,6099,,
,20,,,,6404,0.08703763782978058,3.6813621520996094
0.26340532302856445,20,3.722588300704956,0.8081521391868591,0.004858723375946283,6404,,
,21,,,,6709,0.08839914202690125,3.7874038219451904
0.26311978697776794,21,3.7270548343658447,0.8068974614143372,0.004906876944005489,6709,,
,22,,,,7014,0.08793023973703384,3.7587010860443115
0.2630675733089447,22,3.731022357940674,0.8074692487716675,0.004963078536093235,7014,,
,23,,,,7319,0.09150393307209015,3.695124387741089
0.26296818256378174,23,3.7300732135772705,0.8072119951248169,0.0050192768685519695,7319,,
,24,,,,7624,0.08478707075119019,3.651836633682251
0.263017475605011,24,3.7285945415496826,0.8077235817909241,0.0050867293030023575,7624,,
,25,,,,7929,0.08938997983932495,3.723454475402832
0.2628640830516815,25,3.7257637977600098,0.8058605790138245,0.00514708599075675,7929,,
,26,,,,8234,0.08838972449302673,3.6555259227752686
0.2627190351486206,26,3.732501983642578,0.8074589371681213,0.005198388360440731,8234,,
,27,,,,8539,0.09073330461978912,3.7227652072906494
0.2629552185535431,27,3.730851888656616,0.807374119758606,0.005295058246701956,8539,,
,28,,,,8844,0.0851631909608841,3.7612111568450928
0.26279667019844055,28,3.730531692504883,0.8079760670661926,0.005340740084648132,8844,,
,29,,,,9149,0.09133394062519073,3.802365303039551
0.26283061504364014,29,3.7360787391662598,0.8069301247596741,0.005423353984951973,9149,,
,30,,,,9454,0.08860305696725845,3.7410781383514404
0.2629120945930481,30,3.7291653156280518,0.807888388633728,0.005487464368343353,9454,,
,31,,,,9759,0.08563817292451859,3.783257246017456
0.2626873254776001,31,3.7322473526000977,0.8067094087600708,0.005570931360125542,9759,,
,32,,,,10064,0.09015202522277832,3.811699151992798
0.262512743473053,32,3.734841823577881,0.807304322719574,0.005664420314133167,10064,,
,33,,,,10369,0.08654695004224777,3.683129072189331
0.2626587450504303,33,3.7336063385009766,0.807491660118103,0.005766785703599453,10369,,
,34,,,,10674,0.08808749914169312,3.9258625507354736
0.26236236095428467,34,3.7477545738220215,0.8057935833930969,0.0058322930708527565,10674,,
,35,,,,10979,0.08290665596723557,3.733642101287842
0.26258742809295654,35,3.7425272464752197,0.8079343438148499,0.005919244140386581,10979,,
,36,,,,11284,0.0855754166841507,3.864716053009033
0.26229581236839294,36,3.750981569290161,0.8070129156112671,0.006014186888933182,11284,,
,37,,,,11589,0.08515223115682602,3.812224864959717
0.26215505599975586,37,3.7563233375549316,0.8066806197166443,0.006079766899347305,11589,,
,38,,,,11894,0.09054762125015259,3.821159839630127
0.2622956335544586,38,3.7556068897247314,0.8075532913208008,0.006188986822962761,11894,,
,39,,,,12199,0.08355904370546341,3.8880503177642822
