epoch,step,train_loss,val_loss
0,304,,0.902391791343689
0,304,0.9503509402275085,
1,609,,0.8899489045143127
1,609,0.9099752306938171,
2,914,,0.8837835192680359
2,914,0.9003447890281677,
3,1219,,0.878174901008606
3,1219,0.8945909142494202,
4,1524,,0.8756638765335083
4,1524,0.8906267881393433,
5,1829,,0.8726630210876465
5,1829,0.8878843784332275,
6,2134,,0.8710001707077026
6,2134,0.8856176137924194,
7,2439,,0.869371235370636
7,2439,0.8839526176452637,
8,2744,,0.8679119944572449
8,2744,0.8826146721839905,
9,3049,,0.8672654628753662
9,3049,0.8815283179283142,
10,3354,,0.8665686249732971
10,3354,0.8805499076843262,
11,3659,,0.8647995591163635
11,3659,0.879511833190918,
12,3964,,0.8641537427902222
12,3964,0.8789027333259583,
13,4269,,0.8635612726211548
13,4269,0.878151535987854,
14,4574,,0.8634198904037476
14,4574,0.8777246475219727,
15,4879,,0.8629160523414612
15,4879,0.8773386478424072,
16,5184,,0.8615926504135132
16,5184,0.8766220808029175,
17,5489,,0.8617084622383118
17,5489,0.8763671517372131,
18,5794,,0.8609698414802551
18,5794,0.8759130239486694,
19,6099,,0.8604656457901001
19,6099,0.875558614730835,
20,6404,,0.8609379529953003
20,6404,0.8752464056015015,
21,6709,,0.860288143157959
21,6709,0.8750112056732178,
22,7014,,0.8610203862190247
22,7014,0.8750172853469849,
23,7319,,0.8602480292320251
23,7319,0.8747144937515259,
24,7624,,0.8593515753746033
24,7624,0.8743807077407837,
25,7929,,0.858766496181488
25,7929,0.8741530179977417,
26,8234,,0.8590941429138184
26,8234,0.8738617897033691,
27,8539,,0.858391284942627
27,8539,0.873673141002655,
28,8844,,0.8589499592781067
28,8844,0.8733978271484375,
29,9149,,0.8582921028137207
29,9149,0.8732331395149231,
30,9454,,0.8582355380058289
30,9454,0.8731493353843689,
31,9759,,0.857459545135498
31,9759,0.872953474521637,
32,10064,,0.8572303056716919
32,10064,0.8726657629013062,
