d_loss,epoch,g_loss,gradient_penalty,sparsity_penalty,step,val_d_loss,val_g_loss
,0,,,,304,0.6678717136383057,0.9393804669380188
0.45780274271965027,0,2.0343387126922607,0.7600297331809998,0.004079102072864771,304,,
,1,,,,609,0.6325666904449463,0.7782637476921082
0.650497555732727,1,1.0047969818115234,0.7264842987060547,0.005930876359343529,609,,
,2,,,,914,0.5915882587432861,0.8632300496101379
0.6333845257759094,2,1.013084888458252,0.7283635139465332,0.0057289316318929195,914,,
,3,,,,1219,0.5398671627044678,0.8834782242774963
0.6063132286071777,3,1.0730313062667847,0.7238180637359619,0.005761963315308094,1219,,
,4,,,,1524,0.5277397632598877,0.9414421916007996
0.5748721361160278,4,1.1358762979507446,0.7097087502479553,0.005752260331064463,1524,,
,5,,,,1829,0.4924094080924988,0.9936366081237793
0.5584878921508789,5,1.1549245119094849,0.7066299319267273,0.005781503859907389,1829,,
,6,,,,2134,0.479442298412323,0.9871429800987244
0.539257824420929,6,1.198071002960205,0.7028688788414001,0.005752860102802515,2134,,
,7,,,,2439,0.4583950936794281,1.1727691888809204
0.5221218466758728,7,1.2264858484268188,0.7003644108772278,0.005766965914517641,2439,,
,8,,,,2744,0.43662941455841064,1.088168740272522
0.5078899264335632,8,1.2664272785186768,0.6989872455596924,0.005766823422163725,2744,,
,9,,,,3049,0.42400258779525757,1.1069296598434448
0.4950824975967407,9,1.2972955703735352,0.6959754228591919,0.00574539415538311,3049,,
,10,,,,3354,0.39969784021377563,1.300916075706482
0.48680445551872253,10,1.333720088005066,0.6950851678848267,0.005755198188126087,3354,,
,11,,,,3659,0.40486568212509155,1.1518614292144775
0.47795888781547546,11,1.3489017486572266,0.6898278594017029,0.00573048135265708,3659,,
,12,,,,3964,0.39370009303092957,1.285451889038086
0.47456279397010803,12,1.3631367683410645,0.6906881332397461,0.005740998778492212,3964,,
,13,,,,4269,0.389708012342453,1.2562944889068604
0.4717116057872772,13,1.3737292289733887,0.6914049983024597,0.005731778685003519,4269,,
,14,,,,4574,0.39480337500572205,1.307896375656128
0.46943917870521545,14,1.3841924667358398,0.6900485157966614,0.00573459267616272,4574,,
,15,,,,4879,0.38174718618392944,1.258536458015442
0.4677266478538513,15,1.3925678730010986,0.6897250413894653,0.005718233063817024,4879,,
,16,,,,5184,0.3898497223854065,1.2558238506317139
0.46689504384994507,16,1.396658182144165,0.6899746060371399,0.005725629162043333,5184,,
,17,,,,5489,0.38145434856414795,1.1704339981079102
0.46609431505203247,17,1.4019474983215332,0.6893934011459351,0.005714558996260166,5489,,
,18,,,,5794,0.3949985206127167,1.2011255025863647
0.465766578912735,18,1.406712532043457,0.6899605989456177,0.005715489387512207,5794,,
,19,,,,6099,0.38632792234420776,1.3399553298950195
0.46583062410354614,19,1.4145448207855225,0.6901767253875732,0.005712776444852352,6099,,
,20,,,,6404,0.383618026971817,1.318397045135498
0.46571558713912964,20,1.4058204889297485,0.691673219203949,0.005704944487661123,6404,,
,21,,,,6709,0.3816068470478058,1.2292640209197998
0.4656292200088501,21,1.4105064868927002,0.690293550491333,0.005708592943847179,6709,,
,22,,,,7014,0.3920450508594513,1.478878378868103
0.46575605869293213,22,1.409719467163086,0.6899197101593018,0.0056992145255208015,7014,,
,23,,,,7319,0.395700603723526,1.2952566146850586
0.46529945731163025,23,1.409233570098877,0.6897878646850586,0.005690652411431074,7319,,
,24,,,,7624,0.3805137872695923,1.2620031833648682
0.46589916944503784,24,1.4006651639938354,0.691813588142395,0.005692416336387396,7624,,
,25,,,,7929,0.3816329538822174,1.3478575944900513
0.4654219150543213,25,1.4062389135360718,0.6924250721931458,0.005687847267836332,7929,,
,26,,,,8234,0.3826606571674347,1.225278615951538
0.4661200940608978,26,1.4005565643310547,0.6940395832061768,0.00568754319101572,8234,,
,27,,,,8539,0.3821769952774048,1.2718816995620728
0.46595311164855957,27,1.4048540592193604,0.6920575499534607,0.005681563634425402,8539,,
,28,,,,8844,0.38415849208831787,1.3402233123779297
0.4677791893482208,28,1.396129846572876,0.6950794458389282,0.005677584558725357,8844,,
,29,,,,9149,0.3826395869255066,1.3231581449508667
0.4676729738712311,29,1.398323655128479,0.6941270232200623,0.005687853787094355,9149,,
,30,,,,9454,0.3809220790863037,1.3305306434631348
0.46879953145980835,30,1.3876842260360718,0.6945012211799622,0.0056737810373306274,9454,,
,31,,,,9759,0.3869566321372986,1.228532314300537
0.46824565529823303,31,1.3876655101776123,0.6931211948394775,0.005679573398083448,9759,,
,32,,,,10064,0.3891216516494751,1.3121730089187622
0.46908921003341675,32,1.3866701126098633,0.6961120367050171,0.005666323937475681,10064,,
,33,,,,10369,0.3846151530742645,1.2778897285461426
0.46816548705101013,33,1.3894058465957642,0.6936846375465393,0.005674801301211119,10369,,
,34,,,,10674,0.3854845464229584,1.2986562252044678
0.4678519070148468,34,1.397788643836975,0.6950357556343079,0.005662653129547834,10674,,
,35,,,,10979,0.3753300607204437,1.4162253141403198
0.4691503047943115,35,1.3821511268615723,0.6968176960945129,0.00566546805202961,10979,,
,36,,,,11284,0.38278961181640625,1.2851014137268066
0.46708500385284424,36,1.396899938583374,0.6928526759147644,0.0056580132804811,11284,,
,37,,,,11589,0.38102757930755615,1.3583033084869385
0.46820068359375,37,1.3916707038879395,0.6962688565254211,0.005665996577590704,11589,,
,38,,,,11894,0.38435590267181396,1.2695887088775635
0.466217964887619,38,1.4016666412353516,0.6923016905784607,0.005648505408316851,11894,,
,39,,,,12199,0.38931840658187866,1.3132737874984741
