epoch,kl_loss,kl_weight,recon_loss,step,train_loss,val_kl_loss,val_loss,val_recon_loss
0,,,,304,,2.4039411544799805,0.9140995144844055,0.9140995144844055
0,2.0717036724090576,0.0,0.9655192494392395,304,0.9655192494392395,,,
1,,,,609,,1.0660369396209717,0.9042842388153076,0.9000202417373657
1,1.0733786821365356,0.003999995067715645,0.9185256958007812,609,0.9228188395500183,,,
2,,,,914,,0.7259510159492493,0.9000728130340576,0.8942652940750122
2,0.7550210952758789,0.00799999013543129,0.9086098670959473,914,0.914649248123169,,,
3,,,,1219,,0.5836635231971741,0.8966338634490967,0.8896299600601196
3,0.6100670695304871,0.012000031769275665,0.9031966328620911,1219,0.9105174541473389,,,
4,,,,1524,,0.4943101704120636,0.8951764106750488,0.8872673511505127
4,0.5126013159751892,0.01599998027086258,0.899145245552063,1524,0.907346785068512,,,
5,,,,1829,,0.4124920964241028,0.8933066725730896,0.8850568532943726
5,0.44089165329933167,0.01999998465180397,0.8963907957077026,1829,0.9052084684371948,,,
6,,,,2134,,0.3721582889556885,0.8917328715324402,0.8828011155128479
6,0.3910239338874817,0.02400006353855133,0.8937281370162964,2134,0.9031122326850891,,,
7,,,,2439,,0.3451736569404602,0.8909026980400085,0.8812377452850342
7,0.3593880236148834,0.027999961748719215,0.8923434615135193,2439,0.9024060964584351,,,
8,,,,2744,,0.3136337399482727,0.8900872468948364,0.8800509572029114
8,0.33315834403038025,0.03199996054172516,0.8907936215400696,2744,0.9014540314674377,,,
9,,,,3049,,0.30516910552978516,0.8905370235443115,0.8795506954193115
9,0.31617024540901184,0.03599998727440834,0.8898777961730957,3049,0.9012601971626282,,,
10,,,,3354,,0.2989540696144104,0.8906852006912231,0.8787270784378052
10,0.3027294874191284,0.03999996930360794,0.8893916606903076,3354,0.9015008807182312,,,
11,,,,3659,,0.2834879457950592,0.891343891620636,0.8788704872131348
11,0.2921837270259857,0.04399990290403366,0.8890465497970581,3659,0.9019027948379517,,,
12,,,,3964,,0.27342432737350464,0.8925832509994507,0.8794587850570679
12,0.2818228602409363,0.04800012707710266,0.8889083862304688,3964,0.9024354219436646,,,
13,,,,4269,,0.26955100893974304,0.8908433318138123,0.8768265843391418
13,0.27499768137931824,0.05200003832578659,0.886770486831665,4269,0.9010705351829529,,,
