epoch,kl_loss,kl_weight,recon_loss,step,train_loss,val_kl_loss,val_loss,val_recon_loss
0,,,,304,,0.028488105162978172,0.9793809056282043,0.9651371240615845
0,0.02891058288514614,0.5,1.0061185359954834,304,1.0205737352371216,,,
1,,,,609,,0.028693735599517822,0.9730499386787415,0.9587029218673706
1,0.027357369661331177,0.5,0.9685010313987732,609,0.9821804761886597,,,
2,,,,914,,0.031077617779374123,0.9699909687042236,0.9544519782066345
2,0.03016938455402851,0.5,0.9615453481674194,914,0.976630449295044,,,
3,,,,1219,,0.031337153166532516,0.9681796431541443,0.9525111317634583
3,0.03178979828953743,0.5,0.9575028419494629,1219,0.9733975529670715,,,
4,,,,1524,,0.03450722619891167,0.9629945755004883,0.9457413554191589
4,0.03316826745867729,0.5,0.9538703560829163,1524,0.9704541563987732,,,
5,,,,1829,,0.03656437620520592,0.9594801664352417,0.9411979913711548
5,0.036016616970300674,0.5,0.9481787085533142,1829,0.9661867022514343,,,
6,,,,2134,,0.03949494659900665,0.9561069011688232,0.9363595247268677
6,0.03886164352297783,0.5,0.9434533715248108,2134,0.9628843069076538,,,
7,,,,2439,,0.04291096702218056,0.9529695510864258,0.9315141439437866
7,0.041549328714609146,0.5,0.9390594363212585,2439,0.9598344564437866,,,
8,,,,2744,,0.04337924346327782,0.9525075554847717,0.9308180809020996
8,0.04277070611715317,0.5,0.9371228218078613,2744,0.9585080146789551,,,
9,,,,3049,,0.041296303272247314,0.9511131644248962,0.9304648041725159
9,0.04290151968598366,0.5,0.935892641544342,3049,0.9573436975479126,,,
10,,,,3354,,0.04324065148830414,0.9515942931175232,0.9299742579460144
10,0.04333723708987236,0.5,0.9350805282592773,3354,0.9567492008209229,,,
11,,,,3659,,0.04350709542632103,0.9504752159118652,0.9287217259407043
11,0.04363267496228218,0.5,0.9342035055160522,3659,0.9560195803642273,,,
12,,,,3964,,0.04381917417049408,0.9508535861968994,0.928943932056427
12,0.04382651299238205,0.5,0.9338186383247375,3964,0.9557314515113831,,,
13,,,,4269,,0.04433900862932205,0.9499858021736145,0.9278163909912109
13,0.04401350021362305,0.5,0.9333118200302124,4269,0.9553183317184448,,,
14,,,,4574,,0.04316195100545883,0.9496122002601624,0.9280312657356262
14,0.044190745800733566,0.5,0.9328041076660156,4574,0.9548991918563843,,,
15,,,,4879,,0.0453057698905468,0.9501129984855652,0.9274600148200989
15,0.044830113649368286,0.5,0.9320725798606873,4879,0.9544882774353027,,,
16,,,,5184,,0.04459168761968613,0.9499610662460327,0.9276650547981262
16,0.04519418627023697,0.5,0.9315796494483948,5184,0.9541768431663513,,,
17,,,,5489,,0.045512400567531586,0.9482599496841431,0.9255036115646362
17,0.045705441385507584,0.5,0.930946409702301,5489,0.9537981152534485,,,
18,,,,5794,,0.04439067468047142,0.9484061598777771,0.926210880279541
18,0.04580695182085037,0.5,0.9307056069374084,5794,0.9536088705062866,,,
19,,,,6099,,0.047153059393167496,0.9488319754600525,0.9252551198005676
19,0.04610319808125496,0.5,0.9303547143936157,6099,0.9534060955047607,,,
20,,,,6404,,0.045830368995666504,0.9483742117881775,0.9254590272903442
20,0.046406179666519165,0.5,0.9301177263259888,6404,0.9533212780952454,,,
21,,,,6709,,0.04648180305957794,0.9478319883346558,0.9245911836624146
21,0.04620196670293808,0.5,0.9299625158309937,6709,0.953063428401947,,,
22,,,,7014,,0.04575188830494881,0.94765305519104,0.924777090549469
22,0.04640907049179077,0.5,0.9300262928009033,7014,0.9532312750816345,,,
23,,,,7319,,0.04497949033975601,0.947389543056488,0.9248998165130615
23,0.0463409498333931,0.5,0.9296725988388062,7319,0.9528427720069885,,,
24,,,,7624,,0.04685099422931671,0.9478574991226196,0.9244321584701538
24,0.04649270325899124,0.5,0.9295486807823181,7624,0.952795147895813,,,
25,,,,7929,,0.045042265206575394,0.9478521943092346,0.9253309369087219
25,0.04665227234363556,0.5,0.9293152093887329,7929,0.9526408314704895,,,
26,,,,8234,,0.0459119938313961,0.9472662806510925,0.9243102669715881
26,0.04680083319544792,0.5,0.9291423559188843,8234,0.9525427222251892,,,
27,,,,8539,,0.04642275720834732,0.9481974244117737,0.9249858260154724
27,0.04709676280617714,0.5,0.9292046427726746,8539,0.9527528882026672,,,
28,,,,8844,,0.04749872535467148,0.9469835162162781,0.9232344031333923
28,0.04677359014749527,0.5,0.9292130470275879,8844,0.9525998830795288,,,
29,,,,9149,,0.04622340574860573,0.9468511939048767,0.9237396121025085
29,0.046729329973459244,0.5,0.9287669062614441,9149,0.9521324038505554,,,
30,,,,9454,,0.04679524526000023,0.9468774199485779,0.9234796762466431
30,0.046835899353027344,0.5,0.9286931157112122,9454,0.9521114230155945,,,
